Subdirectory	Count
1020-IPA-00	1
1020-IPA-03-a	1
1020-PPAB-01-a	1
1037-IPA-00-a	1
1037-PA1-00-a	1
1037-PA2-00-a	1
1042-IPA0-00	2
1042-IPA-04	2
1067-IPA-00	1
1069-IPA-00	1
1094-IPA-00	1
1164-IPA0-00-a	1
1164-IPA0-03-a	1
1171-IPA0-07-a	1
1200-IPA0-00	1
1205-IPA0-00	2
1210-IPA0-00-a	3
1210-IPA0-06	2
1241-IPA0-08	2
1248-IPA0-11	3
1248-IPA0-14a	1
1248-IPA0-30	3
1265-IPA0-00	1
1265-IPA0-10	1
1265-PPA0-00-1a	1
1268-IPA0-08	1
1300-IPA0-09	2
1304-IPAB-63	1
1305-IPA0-10	1
1305-IPA0-16-1	1
1305-IPA0-19-1	1
1329-IPA0-00	1
1329-IPA0-41	1
1329-IPA0-44	1
1329-IPA1-28	1
1329-IPA1-41	1
1329-IPA1-53	1
1329-IPA3-28	1
1329-IPA5-28	1
1329-IPAB-28	1
1329-IPAB-30-1	1
1329-IPAB-31-1	1
1329-PPA0-02	1
1370-IPA0-27	1
1370-IPA0-29	1
1370-IPA1-29	1
1412-IPA0-21	1
1412-IPA0-31	1
1444-IPA0-00	1
1444-IPA0-05	1
1446-IPA0-18	1
1447-IPA0-15	1
1447-IPA0-40-1	1
1450-IPA0-00	1
1450-IPA0-05	1
1455-IPA0-64	1
1466-IPA0-09	1
1466-IPA0-31	1
1511-IPA0-19	1
1511-IPA1-19	1
1539-IPA0-00	2
1539-IPA0-04	2
1546-IPA0-05	3
1546-IPA0-13	3
1546-IPA1-05	2
1552-IPA0-00	1
1555-IPA0-00	1
1555-IPA0-06	1
1555-IPA1-06	1
1592-IPA0-00	1
1592-IPA0-13	1
1592-IPA0-21	1
1597-IPA0-45	1
1626-IPA0-05	1
1639-IPA0-00	1
1658-IPA0-05	1
1658-IPA0-08	1
1676-IPA0-00	1
1687-IPA0-10	1
1687-IPA0-13	1
1687-IPA0-16-1	1
1687-IPA0-16-2	1
1687-IPA0-25	1
1687-IPA0-32	1
1687-IPA0-39-1	1
1687-IPA0-39-2	1
1687-IPA0-48	1
1687-IPA0-52	1
1687-IPA0-60	1
1687-IPA0-64	1
1687-IPA1-13	1
1687-IPA1-25	1
1687-IPA1-32	1
